route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,LAB,980D0V26,,0,9800,SHP_980_V
14,LAB,980D0V27,,0,9800,SHP_980_V
14,LAB,980D0V28,,0,9800,SHP_980_V
14,LAB,980D0V29,,0,9800,SHP_980_V
14,LAB,980D0V30,,0,9800,SHP_980_V
14,LAB,980D0V31,,0,9800,SHP_980_V
14,LAB,980D0V32,,0,9800,SHP_980_V
14,LAB,980D0V33,,0,9800,SHP_980_V
14,LAB,980D0V34,,0,9800,SHP_980_V
14,LAB,980D0V35,,0,9800,SHP_980_V
14,LAB,980D0V36,,0,9800,SHP_980_V
14,LAB,980D0V37,,0,9800,SHP_980_V
14,LAB,980D0V38,,0,9800,SHP_980_V
14,LAB,980D0V39,,0,9800,SHP_980_V
14,LAB,980D0V40,,0,9800,SHP_980_V
14,LAB,980D0V41,,0,9800,SHP_980_V
14,LAB,980D0V42,,0,9800,SHP_980_V
14,LAB,980D0V43,,0,9800,SHP_980_V
14,LAB,980D0V44,,0,9800,SHP_980_V
14,LAB,980D0V45,,0,9800,SHP_980_V
14,LAB,980D0V46,,0,9800,SHP_980_V
14,LAB,980D0V47,,0,9800,SHP_980_V
14,LAB,980D0V48,,0,9800,SHP_980_V
14,LAB,980D0V49,,0,9800,SHP_980_V
14,LAB,980D0V50,,0,9800,SHP_980_V
14,LAB,980D0V51,,0,9800,SHP_980_V
14,LAB,980D0V52,,0,9800,SHP_980_V
14,LAB,980D0V53,,0,9800,SHP_980_V
14,LAB,980D0V54,,0,9800,SHP_980_V
14,LAB,980D0V55,,0,9800,SHP_980_V
14,LAB,980D0V56,,0,9800,SHP_980_V
14,LAB,980D0V57,,0,9800,SHP_980_V
14,LAB,980D0V58,,0,9800,SHP_980_V
14,LAB,980D0V59,,0,9800,SHP_980_V
14,LAB,980D0V60,,0,9800,SHP_980_V
14,LAB,980D0V61,,0,9800,SHP_980_V
14,LAB,980D0V62,,0,9800,SHP_980_V
14,LAB,980D0V63,,0,9800,SHP_980_V
14,LAB,980D0V64,,0,9800,SHP_980_V
14,LAB,980D0V65,,0,9800,SHP_980_V
14,LAB,980D0V66,,0,9800,SHP_980_V
14,LAB,980D0V67,,0,9800,SHP_980_V
14,LAB,980D0V68,,0,9800,SHP_980_V
14,LAB,980D0V69,,0,9800,SHP_980_V
14,LAB,980D0V70,,0,9800,SHP_980_V
14,LAB,980D0V71,,0,9800,SHP_980_V
14,LAB,980D0V72,,0,9800,SHP_980_V
14,LAB,980D0V73,,0,9800,SHP_980_V
14,SAB,926D1V0,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V1,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V2,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V3,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V4,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V5,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V6,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V7,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V8,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V9,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V10,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V11,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V12,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V13,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V14,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V15,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V16,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V17,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V18,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V19,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V20,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V21,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V22,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V23,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V24,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V25,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V26,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V27,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V28,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V29,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V30,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V31,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V32,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V33,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V34,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V35,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V36,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V37,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V38,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V39,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V40,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V41,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V42,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V43,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V44,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V45,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V46,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V47,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V48,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V49,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V50,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V51,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V52,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V53,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V54,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V55,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V56,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V57,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V58,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V59,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V60,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V61,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V62,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V63,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V64,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V65,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V66,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V67,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V68,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V69,Estació del Nord,0,9261,SHP_926_V
14,SAB,926D1V70,Pinedo,0,9261,SHP_926_I
14,SAB,926D1V71,Pinedo,0,9261,SHP_926_I
